source	target
No way, mate.	Та ні, брате.
I'm burning the midnight oil just to finish this damn report.	Працюю допізна, щоб дописати цей сраний звіт.
Wanna grab a pint at the local? 8pm?	Хочеш піти на пінту в місцевий паб? О 20:00?
Stop sugarcoating it — tell me straight: did you fuck up or not?	Припини приукрашувати — скажи прямо: ти облажався чи ні?
I bought it from user_xyz123 on that sketchy site: http://dodgy.shop	Я купив це у user_xyz123 на тому підозрілому сайті: http://dodgy.shop
No way, mate!	Та ні, чувак!
I ordered a charger from user_profile_789 on that site, hope it isn't a scam.	Я замовив зарядку у user_profile_789 на тому сайті, сподіваюся, це не лохотрон.
You're barking up the wrong tree if you think I'll lend you money.	Ти помиляєшся, якщо думаєш, що я позичу тобі грошей.
I'm knackered, gonna crash on your couch.	Я валюся з ніг, впаду на твій диван.
I told him to chill the fuck out, but he kept going on and on about his ex for hours.	Я йому сказав, щоб, бля, заспокоївся, але він годинами не вщухав, базікаючи про свою колишню.
No way, dude!	Та ні, чувак!
Break a leg at the audition tonight—you'll crush it.	Ні пуху, ні пера на прослуховуванні сьогодні ввечері — ти там порвеш.
Goddamn it, I spilled coffee all over my laptop!	Бля, я розлив каву по всьому ноутбуку!
Are we still on for tonight at that pub near King's Cross?	Ми ще зустрічаємось сьогодні ввечері в тому пабі біля Кінгс-Кросу?
I bought some vintage sneakers from seller_vinyl95 on that new marketplace, hope they fit.	Я купив вінтажні кросівки у seller_vinyl95 на тому новому маркетплейсі, сподіваюся, підійдуть.
No way, dude.	Та ні, чувак.
I can't deal with this bullshit anymore, I'm out.	Я більше не можу терпіти це лайно, я звідси.
Do you wanna grab a beer at Lviv's Pidzamche bar tonight?	Сьогодні ввечері хочеш піти на пиво в бар на Підзамче у Львові?
He's been skating around the issue for weeks; just tell him to stop pussyfooting and speak up.	Він тижнями ходить навколо теми; скажи йому перестати тягнути резину і говорити прямо.
I sent the files to user_88_backup@cloud123, but the upload failed with error 504: Gateway Timeout.	Я відправив файли на user_88_backup@cloud123, але завантаження впало з помилкою 504: Gateway Timeout.
No way, man.	Та ну, чувак.
If we don't leave now, we're gonna miss the last train and I'll be stuck crashing on my cousin's couch for who knows how long.	Якщо зараз не підемо, ми пропустимо останній потяг, і я застрягну ночувати на дивані в кузена невідомо на який час.
I'm knackered after that shift; gonna crash on the couch and sleep like a log.	Я вбитий після тієї зміни; впаду на диван і спатиму як убитий.
You coming to the pub tonight for the footie match or nah?	Підеш сьогодні ввечері в паб подивитися футбол чи ні?
Fuck, I forgot to pay the rent — the landlord's gonna flip.	Блін, я забув заплатити за оренду — хазяїн зараз зірветься.
No way, dude.	Та ну, чувак.
I'm so over this, it's not worth my time anymore.	Мені це вже остогидло — воно більше не варте мого часу.
Are we still on for tomorow at 8?	Ми все ще зустрічаємось завтра о 20:00?
Just grabbed a vintage jacket from retroshop_1984 — can't wait to show it off.	Щойно придбав вінтажну куртку в retroshop_1984 — не можу дочекатися, щоб показати її.
This damn project kept dragging on and I nearly fucking lost it today.	Цей клятий проєкт тягнувся вічність, і сьогодні я ледь не зірвався, бля.
No way, mate.	Та ні, чувак.
cant be arsed to cook tonight, honestly.	Мені зовсім лінь готувати сьогодні, чесно.
I'm over the moon about the new gig — it's fucking perfect.	Я на сьомому небі через новий гіг — це, бля, ідеально.
Fancy a cuppa at that tiny tea room on Baker Street?	Хочеш випити чаю в тій крихітній чайній на Бейкер-стріт?
Sent it to seller_9090 — track number: 7aB!x9	Відправив це продавцю seller_9090 — номер відстеження: 7aB!x9
No way, mate.	Та ні, чувак.
I was up all night trying to fix the stupid bug in the code, and now I'm exhausted.	Я усю ніч просидів, намагаючись виправити ту тупу помилку в коді, і зараз я зовсім вимотаний.
Are you fucking kidding me? That's mental.	Ти, блять, жартуєш? Це просто божевілля.
I bought a rare vinyl from vinyl_shop_22 on eBay last week.	Минулого тижня я купив рідкісний вініл у vinyl_shop_22 на eBay.
Let's grab a pint at the local pub before the footie match, yeah?	Підемо випити пива в місцевому пабі перед футбольним матчем, ок?
No way, seriously?	Та ні, серйозно?
I'm so pissed off right now I could scream.	Я такий розлютований зараз, що міг би всіх послати нахуй і просто кричати.
I was up all night trying to fix that stupid server crash, and now my brain's fried.	Я просидів усю ніч, намагаючись виправити той клятий збій сервера, і тепер мій мозок зовсім зварився.
I ordered something from seller_X93 on that app, but the tracking still says N/A.	Я замовив щось у seller_X93 на тій апці, але відстеження досі показує N/A.
Wanna grab a shawarma near Maidan around nine?	Хочеш заскочити на шаурму біля Майдану близько дев'ятої?
No way, mate.	Та ні, чувак.
I'm snowed under with work; I can't even breathe.	Я по вуха завалений роботою; навіть дихати не встигаю.
Stop acting like a dick and own up to it, seriously.	Припини поводитися як мудак і признайся вже, серйозно.
Wanna grab a kebab and watch the footy later?	Хочеш схопити кебаб і подивитися футбол пізніше?
I sent the payment to user_profile_987 on that site — hope it goes through.	Я відправив платіж користувачу user_profile_987 на тому сайті — сподіваюся, все пройде.
Get a grip.	Візьми себе в руки.
I'm knackered — ran three bloody miles and forgot my keys at home.	Я втомився до смерті — пробіг три чортові милі й забув ключі вдома.
Did you definately send the docs to user_profile_102?	Ти точно надіслав документи користувачу user_profile_102?
Mate, chill — it's just a pub quiz, not the end of the world.	Бро, заспокойся — це всього лиш паб-квіз, не кінець світу.
Fuck that, I'm not going through that shit again.	Нахуй це — я через ту срань більше не піду.
No way, mate.	Та ні, чувак.
I'm running on fumes after pulling an all-nighter for that shitty report.	Я на порохах після того, як просидів всю ніч над тим гівняним звітом.
Are we still on for 8pm or did you bail?	Ми все ще на 20:00, чи ти злиняв?
Bring some crisps and a six-pack, we'll watch the footie at my flat.	Принеси чіпси й шістку пива, будемо дивитися футбол у мене в квартирі.
Dude, check order order#A9b3f on that marketplace, it never arrived.	Чувак, глянь замовлення order#A9b3f на тому маркетплейсі — воно так і не прийшло.
No way, dude!	Ні за що, чувак!
I was up all night binging that new show on Netflix; my brain is mush.	Я всю ніч зависав на тому новому серіалі на Netflix — мозок у пюре.
Stop being such a dick and pick up the phone, seriously.	Припини бути таким мудаком і візьми слухавку, ну серйозно.
I bought it from user_7890 on that sketchy site.	Я купив це у user_7890 на тому підозрілому сайті.
