source	target
Да ну нафиг.	Hell no — fuck that.
Ты что опять забил на встречу?	Did you bail on the meeting again?
У него руки из жопы: всё чинит через одно место.	He's got his hands up his ass — he botches every repair.
Вчера в Питере с пацанами по Невскому шлялись, зашли в бар, выпили пару литров и тусили у кого-то до утра.	Yesterday in St. Pete the guys and I wandered down Nevsky, hit a bar, downed a couple of liters and ended up partying at someone's place until morning.
Блин, как достали эти очереди в поликлинике — три часа простоял и ничего толком не сделали.	Man, I'm so sick of these lines at the clinic — waited three hours and they didn't do jack.
Да ну нафиг.	Hell no.
Куда, блин, все пропадают перед важным дедлайном?	Where the hell does everyone disappear to right before an important deadline?
Этот бардак с паспортами — полный пиздец, ничего не понятно.	This passport mess is a complete clusterfuck; nothing makes any sense.
Он за пять копеек не продаст старую дачу, которой дед всю жизнь пахал.	He wouldn't sell the old dacha his grandfather slaved over his whole life for a pittance.
Глянь видос: https://vk.com/video12345 — ржал до слёз!	Check out this vid: https://vk.com/video12345 — had me laughing until I cried!
Ну и чё?	So what?
Блин, опять пробки на МКАДе — весь день стоял, еле доехал.	Damn, traffic on the MKAD again — I was stuck all day, barely made it.
Он такой: 'Сделаю за пять минут', а прошло два часа — и всё никак.	He was like, 'I'll do it in five minutes,' and two hours went by — still nothing.
Базара нет, пацаны зажгли на концерте, охрененно сыграли, хоть бы ещё раз повторили.	No doubt, the boys totally lit up the concert — they played fucking brilliantly, I wish they'd do it again.
Да ну нафиг, у меня сегодня такое настроение — выкинь все дела, поехали на дачу, возьмём пиво, мангал и будем жарить шашлык до утра.	Hell no, I'm in such a mood today — forget everything, let's go to the dacha, grab beer and a grill and roast shashlik until morning.
Ну и ну.	Well, I'll be damned.
Ты че, с ума сошёл, что ли?	Are you out of your mind or what?
Погнали, братан!	Let's roll, bro!
Хватит из мухи слона делать, всё не так страшно.	Stop making a mountain out of a molehill — it's really not that bad.
Я пытался починить нашу старую «Жигу» всю субботу, но она упрямо не заводится — пипец, зря весь день провёл.	I spent all Saturday trying to fix our old Zhiga, but it stubbornly won't start — what a damn waste of a whole day.
Да ну нафиг.	Hell no.
Ты чё, с ума сошёл? С кем ты так разговариваешь?	Are you out of your fucking mind? Who do you think you're talking to?
Если завтра этот халтурщик-начальник опять приперётся с отчётом в последнюю минуту, я ему такой разнос устрою, что он запомнит.	If that lazy-ass boss shows up tomorrow with his report at the last minute again, I'll tear him a new one so he'll remember.
Я по блату достал билеты на концерт, а теперь чувак просит втридорога.	I scored the concert tickets through a hookup, and now the guy's trying to charge three times the price.
Не гони — я вчера видел его в «Пятёрочке» с той новой девчонкой, они явно вместе.	Don't give me that — I saw him in Pyaterochka yesterday with that new girl; they're definitely together.
Пошёл ты.	Fuck off.
Не всё коту масленица — будут и сраные будни.	You can't party forever — shitty weekdays will come too.
Ты что, охуел?	Are you fucking out of your mind?
Вчера мы зашли к бабке на районе: она наварила борща и долго рассказывала про войну, пока мы хрустели семечками на кухне.	Yesterday we dropped by the old lady down the block — she made a big pot of borscht and kept talking about the war while we munched sunflower seeds in the kitchen.
Глянь, новый альбом Басты рвёт так, что уши в трубочку заворачиваются.	Check it out — Basta's new album slaps so hard it'll curl your ears.
Ни фига себе!	Holy shit!
Ты видел новый клип Басты? Просто бомба!	Have you seen Basta's new video? It's fucking awesome!
Я два часа простоял на остановке под дождём, а маршрутка пролетела мимо — ну и день.	I stood at the bus stop in the rain for two hours and the marshrutka just drove past — what a day.
Отстань, слышь, не лезь со своими советами.	Back off, man, don't butt in with your advice.
Короче, по-пацански: сделал дело — забыл дело, не выпендривайся.	Short version, bro-code: do the job and forget it — don't try to show off.
Да ну нафиг!	Hell no!
Ты что, охуел?!	Have you lost your fucking mind?!
Он всё время тянет одеяло на себя.	He's always trying to grab all the credit for himself.
Вчера на даче бабушка сварила борщ, а соседи принесли самогон — был конкретный праздник.	Yesterday at the dacha grandma cooked borscht and the neighbors brought moonshine — it turned into a proper party.
Не вешай мне лапшу на уши, я не дурак.	Don't bullshit me, I'm not an idiot.
Да ну нафиг.	Hell no.
Ты чё, охуел?	Are you fucking crazy?
Вчера ходил в кино на новый фильм про наш футбол — полная засада, лучше бы дома остался.	I went to the cinema yesterday to see that new movie about our football — it was a total disaster, I should've just stayed home.
Не вешай нос, всё наладится, как-нибудь прорвёмся.	Don't hang your head, it'll all work out — we'll get through it somehow.
Блин, опять пробка на МКАДе — стояли как селёдки, еле доехал.	Damn, another jam on the MKAD — we were packed like sardines, barely made it.
Да ну нафиг.	Hell no.
Ты че, с катушек слетел?	Are you out of your damn mind?
После той хрени на даче я реально выдохся — соседи всю ночь врубали какую-то хуйню и заебали.	After that crap at the dacha I was totally wiped out — the neighbors blasted some shitty music all night and drove me crazy.
Не парься, Москва не сразу строилась.	Don't sweat it, Rome wasn't built in a day.
Глянь вот этот ID: 7f4b! Что это вообще за шняга?	Check out this ID: 7f4b! What the hell is this thing?
Да ну нафиг.	Screw that.
Бабки на карте есть? Закину тебе на пиво.	Got any money on your card? I'll send you some for a beer.
Вчера на даче пили самогон, бабушка налила, и я понял, что все эти разговоры о здоровье можно послать к черту.	Yesterday at the dacha we drank moonshine, grandma poured a shot, and I realized I could tell all those 'health' lectures to go to hell.
Ты чего, совсем гонишь? Я же ясно сказал — сегодня не могу.	What the hell are you on about? I told you straight — I can't today.
