source	target
Не парься, бро.	Nerob si starosti, brácho.
Он вешает мне лапшу на уши, я устал слушать его сказки о быстром обогащении.	On mi nahovára nezmysly, už ma unavuje počúvať jeho príbehy o rýchlom zbohatnutí.
Ты как, всё ещё на той же работе или сменил?	A ty ako — stále si v tej istej robote, alebo si ju zmenil?
Ни фига себе, он действительно это сделал!	Sakra, on to naozaj spravil!
Вчера зашёл в палатку за пирожками и встретил там соседа из двора, разговорились на всю ночь.	Včera som zašiel do stánku po pirožky a tam som stretol suseda z dvora, tak sme si pokecali celú noc.
Чёрт, проспал!	Do riti, zaspal som!
Дело пахнет керосином — они начали менять планы.	Vyzerá to na problém — začali meniť plány.
Пойдём после работы на пиво? Я знаю одно крутое место у реки.	Pôjdeme po práci na pivo? Poznám jedno super miesto pri rieke.
На Новый год мама опять сварит огромный салат Оливье и заставит всех сидеть за столом до утра, как в старые добрые времена.	Na Nový rok mamka opäť uvarí obrovský šalát Olivier a donúti nás všetkých sedieť za stolom až do rána, ako za starých dobrých čias.
Отдай бабки до завтра, иначе вся эта история кончится плохо.	Vráť mi prachy do zajtra, inak to celé dopadne zle.
Да ну нафиг.	Na to kašlem.
Ты чего опять опоздал на встречу, блин?	Prečo si zase meškal na stretnutie, sakra?
Новость выбила у меня почву из-под ног.	Tá správa mi vyrvala pôdu spod nôh.
Заказал товар через user_id: abc123, трек номер track-987, жду доставку.	Objednal som tovar cez user_id: abc123, track číslo track-987, čakám na doručenie.
Если ты ещё раз предашь меня, я больше никогда не верну тебе доверие — всё, точка.	Ak ma ešte raz zradíš, už ti nikdy nevrátim dôveru — koniec, bodka.
Да ну нафиг!	Do kelu, ani náhodou!
Он весь вечер залипал в сериалы и забыл про меня.	Celý večer čumel na seriály a zabudol na mňa.
Слушай, ты что, в своём уме — хочешь жить в палатке посреди Москвы зимой?	Počuj, si normálny? Chceš žiť v stane uprostred Moskvy v zime?
Мне пофиг на их мнение, я буду жить как хочу, хоть горы сверну.	Kašlem na to, čo si myslia — budem žiť, ako chcem, aj keby som mal presunúť hory.
Заказал билеты на концерт через ticket42.ru/bilety, надеюсь, не обманут.	Objednal som lístky na koncert cez ticket42.ru/bilety, dúfam, že ma nesklamú.
Да ну нафиг!	Do riti!
Ты че, с дуба рухнул?	Ty čo, úplne si zblbol?
