source	target
Ну и дела.	Оце так!
Это полный пиздец, я всё хреново сделал.	Це повний пиздець — я все повністю напортачив.
Купил билет на концерт через «Дія», но подтверждения не пришло.	Купив квиток на концерт через «Дію», але підтвердження не прийшло.
Ты что, с ума сошел? Кто тебе такое сказал?	Ти що, з глузду з'їхав? Хто тобі таке сказав?
Если завтра будет хорошая погода, можем поехать за город на дачу, взять мангал, выпить пива и просто посидеть у костра до утра.	Якщо завтра буде хороша погода, можемо поїхати за місто на дачу, взяти мангал, прихопити пива і просто посидіти біля вогнища до ранку.
Да ну нафиг!	Та ну його!
Куда ты всё время пропадаешь? Давай объясняйся!	Куди ти весь час пропадаєш? Давай пояснюйся!
Если завтра будет дождь, то переносим пикник на воскресенье — на мокрой траве никто не будет сидеть и есть шашлык.	Якщо завтра буде дощ, то переносимо пікнік на неділю — на мокрій траві ніхто не сидітиме й не їстиме шашлик.
Если он ещё раз опоздает на встречу, я его пошлю нахуй и больше с ним работать не буду.	Якщо він ще раз запізниться на зустріч, я його пошлю нахуй і більше з ним не працюватиму.
Встречаемся у станции метро 'Майдан Незалежності' в 20:00, возьмём вечернюю каву и прогуляемся Хрещатиком.	Зустрічаємось біля станції метро 'Майдан Незалежності' о 20:00, візьмемо вечірню каву й прогуляємося Хрещатиком.
Чувак, не парься, всё решится.	Чувак, не парся, усе вирішиться.
Я сегодня на нервах, вообще не понимаю, как дальше жить.	Я сьогодні на нервах, взагалі не розумію, як далі жити.
Это полная хрень, я с тобой не поеду на это тупое мероприятие.	Це повна фігня, я з тобою на ту тупу подію не поїду.
Куда, блин, деть все эти коробки после переезда?	Куди, бля, подіти всі ці коробки після переїзду?
Закажу пиццу из Dodo и посмотрю футбол у себя дома.	Замовлю піцу з Dodo і подивлюся футбол вдома.
Пошёл нахуй.	Пішов на хуй.
Куда, чёрт возьми, делась моя шапка? Я положил её на скамейке у метро «Пушкинская».	Куди, чорт забирай, поділася моя шапка? Я поклав її на лавці біля метро «Пушкінська».
Он держит меня за нос, как будто ничего не произошло.	Він водить мене за ніс, ніби нічого не сталося.
Заказал кроссовки на Ozon через аккаунт user_12345, но трек-номер не обновлялся.	Замовив кросівки на Ozon через акаунт user_12345, але трек-номер не оновлювався.
Это полная катастрофа, я уже достал эти бесконечные совещания, они надоели до чёртиков!	Це повна катастрофа, мене вже дістали ці безкінечні наради, вони набридли до чорта!
Да ну нафиг.	Та ну нафіг.
Ты чё, охуел что ли?	Ти що, охуел, чи що?
Я так и знал, что этот проект провалится, у нас тут всё через жопу сделано.	Я й так знав, що цей проєкт провалиться — у нас тут усе зроблено через жопу.
Закажу пиво и возьму закуски, будем смотреть футбол на Матч ТВ.	Замовлю пиво і візьму закуски, будемо дивитися футбол на Матч ТВ.
Слушай, давай завтра пересечёмся у станции «Пушкинская» в девять, не подведёшь?	Слухай, давай завтра зустрінемось біля станції «Пушкінська» о дев'ятій, не підведеш?
Блин, да когда же этот беспредел закончится?	Блін, ну коли вже цей безлад закінчиться?
Мне по барабану, что они обо мне подумают.	Мені по барабану, що вони подумають про мене.
Это пиздец, как они нас вообще допустили до такого?	Це пиздець, як вони взагалі допустили нас до такого?
Заказал книгу на Ozon через аккаунт user_2026. Отследил по треку: пришло в пункт выдачи.	Замовив книжку на Ozon через акаунт user_2026. Відслідкував по треку: прийшло в пункт видачі.
Куда ты, блин, пропал вчера вечером? Все звонили, думали, может, случилось что-то серьёзное.	Куди ти, блін, подівся вчора ввечері? Всі дзвонили, думали, може, сталося щось серйозне.
Да ну нафиг.	Та ну нафіг.
Ты че, в шоке что ли?	Ти що, в шоці, чи що?
Я пытался вернуть деньги за заказ на Ozon, но техподдержка просто кивает да молчит — сплошная бюрократия.	Я намагався повернути гроші за замовлення на Ozon, але техпідтримка просто киває й мовчить — суцільна бюрократія.
Это полный пиздец, сегодня всё пошло наперекосяк.	Це повний пиздець, сьогодні все пішло шкереберть.
Встречаемся у станции метро 'Площадь Революции' в 20:00, я буду под ником user_42.	Зустрічаємось біля станції метро 'Площа Революції' о 20:00, я буду під ніком user_42.
Да ну нафиг.	Та ну нафіг.
Чувак, ты в теме или вообще не врубаешься?	Чувак, ти в темі чи взагалі не врубаєшся?
Это просто убило меня — весь день бегаю как белка в колесе и никакого отдыха.	Це просто вбило мене — цілий день бігаю, як білка в колесі, і ніякого відпочинку.
Куда поедем на выходных — на дачу у тети Оли или в центр на фестиваль у Арбата?	Куди поїдемо на вихідних — на дачу до тітки Олі чи в центр на фестиваль на Арбаті?
Это полная засада, начальник снова кинул нас на бабки, я в ахуе.	Це повна засaда, начальник знову кинув нас на бабки, я в ахує.
Да ладно, блин.	Та ну, блін.
Я так задолбался от этой фигни, что хочу всё бросить и уехать в деревню навсегда.	Я так задовбався від цього лайна, що хочу все кинути й поїхати в село назавжди.
Ты что, прикалываешься? Это же офигенно!	Ти що, приколюєшся? Це ж офігенно!
Заказал товар на Ozon через аккаунт alex_21, трек-номер: 1A2B3C.	Замовив товар на Ozon через акаунт alex_21, трек-номер: 1A2B3C.
Это полный пиздец, мне пофиг на все твои объяснения — делай что хочешь.	Це повний пиздець, мені пофіг на всі твої пояснення — роби що хочеш.
Пошёл на хуй.	Іди на хуй.
Он кинул меня на деньги и исчез.	Він мене кинув на гроші й зник.
Вчера смотрел новый сезон 'Чернобыля' и чуть не прослезился.	Вчора дивився новий сезон мінісеріалу «Чорнобиль» і ледь не просльозився.
Заказал пиццу на DeliveryClub на аккаунт ivan_1987, но не пришла.	Замовив піцу через Delivery Club на акаунт ivan_1987, але вона не приїхала.
Да ты что, серьёзно? Я в шоке до невозможности.	Та ти що, серйозно? Я в шоці до нестями.
Да ну нафиг!	Та ну нафіг!
Куда, блин, ты делся вчера ночью? Все звонили и никто не отвечал.	Куди, бляха, ти подівся вчора вночі? Усі дзвонили, і ніхто не відповідав.
Я по уши в работе, не могу даже на паузу выйти, всё горит и начальство давит.	Я по вуха в роботі, не можу навіть взяти паузу — усе горить, а начальство давить.
Забил на учёбу, целыми днями катаюсь по Киеву на велике и тусуюсь у Подола.	Поклав болт на навчання, цілими днями ганяю Києвом на ровері і тусуюся на Подолі.
Это полное дерьмо, верните деньги! Заказал на Rozetka через аккаунт user_321.	Це повне лайно, поверніть гроші! Замовив на Rozetka через акаунт user_321.
Да ну нафиг.	Та ну нафіг.
Чувак, ты видел, как он вляпался в эту историю?	Чувак, ти бачив, як він влип у цю історію?
Она кинула его, как горячую картошку, и уехала в Питер.	Вона кинула його, мов гарячу картоплю, і поїхала до Пітера.
Куда, блин, все деньги делись? Я вообще не понимаю.	Куди, бляха, поділися всі гроші? Я взагалі не розумію.
Заказал товар на Ozon через аккаунт user_202, доставка на ПВЗ, трек 123-XYZ.	Замовив товар на Ozon через акаунт user_202, доставка на ПВЗ, трек 123-XYZ.
Чувак, зацени!	Чувак, зацінь!
Да ты охренел, что ты мне лапшу вешаешь?	Та ти охренів, що мені лапшу вішаєш?
Куда дели ключи? Опять где-то забыл?	Куди подів ключі? Знову десь забув?
Если не успеем на последний автобус, придётся ночевать около метро, а утром пойти на завтрак в ту маленькую забегаловку у Храма Христа Спасителя.	Якщо не встигнемо на останній автобус, доведеться ночувати біля метро, а вранці піти на сніданок у ту маленьку забігайлівку біля Храму Христа Спасителя.
Это не моя тема, я пас.	Це не моя тема, я пас.
Да ну нафиг.	Та ну, нафіг.
Ты чё, охуел?!	Ти що, охуїв?!
Я проглотил эту обиду и пошёл дальше, потому что не хотел скандала.	Я проковтнув ту образу й пішов далі, бо не хотів скандалу.
Заказал билеты на concert.ua через аккаунт userIvan_42. Надеюсь, не кинут.	Замовив квитки на concert.ua через акаунт userIvan_42. Сподіваюся, не обдурять.
