source	target
Čo blbneš?	Что ты дурачишься?
Mám toho plné zuby, už s tým hajzlom nevládzem.	Меня это достало по горло, с этой хернёй я больше не справляюсь.
Vieš, kde presne je ten nový bar 'Zelený Jeleň' pri moste? Chcel by som tam zájsť dnes večer.	Ты не знаешь, где точно находится новый бар «Зелёный Олень» у моста? Я хотел бы туда заглянуть сегодня вечером.
Ty kokot, prestaň sa hrať na frajera a pomôž vypratať auto.	Ты, мудак, перестань строить из себя крутого и помоги разгрузить машину.
Keď ide do tuhého, on vždy zmizne — ticho ako myška a nechá ostatných riešiť problémy.	Когда дело доходит до серьёзного, он всегда исчезает — тих как мышь и оставляет остальных разбираться с проблемами.
Vypni to, sere ma.	Выключи это, меня бесит.
Nemáš náhodou jednu cigaretu?	У тебя случайно нет сигареты?
Ten koncert bol pecka, úplne nás to odrovnalo.	Тот концерт был просто бомба, нас полностью снесло.
Kúpil som si bundu za 120€ v sekáči na Námestí SNP, stálo to za to.	Я купил куртку за 120€ в секонд-хенде на площади SNP, это того стоило.
Nebuď taký pičus, veď som ti to jasne povedal už sto ráz.	Не будь таким говнюком, я же тебе это уже сто раз ясно сказал.
Čo do kelu?	Какого чёрта?
Minulú noc som bol na poriadnej párty u Petra, pili sme domáce pálenku, tancovali až do rána a teraz sotva stojím na nohách.	Вчера ночью я был на жёсткой тусовке у Петра: пили домашнюю палёнку, танцевали до утра, а теперь едва стою на ногах.
Vieš poriadne variť, alebo len ohrievaš mrazené veci?	Ты вообще умеешь нормально готовить, или только разогреваешь замороженные продукты?
Idem s chalanmi na zápas Slovensko vs. Česká republika, chceš ísť?	Иду с пацанами на матч Словакия — Чехия, пойдёшь?
Nebuď taký kokot, pomôž mi to odniesť.	Не будь таким мудаком, помоги мне это донести.
Seriem na to.	Мне похуй на это.
Ak prídeš dnes večer, môžeme ísť na pivo Zlatý Bažant a potom zájsť k babke na bryndzové halušky.	Если придёшь сегодня вечером, можем сходить на пиво «Zlatý Bažant», а потом зайти к бабуле на галушки с брынзой.
Ten učiteľ nás úplne ošúpal, celý čas kecal do vetra a my sme nič nedostali.	Этот учитель нас полностью развёл — всё время базарил вздор, и мы ничего не выучили.
Po tej párty mám hlavu ako melón, fakt neviem, ako to prežijem.	После той тусовки у меня голова как арбуз, реально не знаю, как я это переживу.
Počuj, neskôr pôjdeme na intrák? Potrebujem vrátiť knihu a zobrať nabíjačku.	Слушай, позже сходим в общагу? Мне нужно вернуть книгу и забрать зарядку.
Ty vole, fakt?	Да ты что, серьёзно?
Mám toho až po krk, už sa mi chce zrútiť.	Мне этого по горло, я вот-вот рухну.
Včera sme s kamoškou vypili fľašu Kofoly a celú noc kecali o bývaní v centre Bratislavy.	Вчера мы с подругой выпили бутылку Кофолы и всю ночь трепались о том, как было бы жить в центре Братиславы.
Nebuď taký čurák a odprataj sa od mňa.	Не будь таким мудаком и отвали от меня.
Vieš, kde je najbližší bufet s dobrým langošom?	Знаешь, где ближайший киоск с нормальным лангошем?
Seriózne teraz?	Серьёзно сейчас?
Mám chuť na bryndzové halušky a pivo v starej krčme.	Хочется бриндзовых галушек и пива в старой забегаловке.
Vieš mi požičať 20€? Odfúknem ti to zajtra, sľubujem.	Можешь одолжить мне 20€? Верну завтра, обещаю.
Nemôžem tomu uveriť, celý deň som sa snažil vyriešiť ten problém, ale všetko ide do piče.	Не могу в это поверить: целый день пытался решить эту проблему, но всё идёт в жопу.
Čo si to zase vypotil, brácho? To znie ako z tvojich filmov.	Что ты опять выдумал, брат? Звучит как из твоих фильмов.
Kurva, čo to je?	Блядь, что это такое?
Mám smolu, dnes ma prešla čierna mačka.	Мне не везёт — сегодня мне перебежала дорогу чёрная кошка.
Ten môj šéf je fakt magor, dal mi voľno len na pol dňa a ešte odo mňa chce, aby som nachystal všetky správy.	Мой начальник — полный псих, дал мне выходной только на полдня и ещё требует, чтобы я подготовил все отчёты.
Vieš, kde v BA kúpiť fakt dobrý bryndzový chlieb?	Знаешь, где в Братиславе можно купить реально хороший хлеб с брынзой?
To je uplne mega sranda, neviem sa prestať smiať :D	Это ппц смешно, не могу перестать смеяться :D
Čo to melieš?	Что ты несёшь?
Nebuď taký čurák, podrž mi to na chvíľu.	Не будь таким мудаком, подержи это минутку.
Mám toho plné zuby, už ma to fakt nebaví.	Меня это уже по горло достало, мне это реально надоело.
V sobotu ideme na pivo do krčmy pri starej dielni, príď tiež.	В субботу идём на пиво в корчму у старой мастерской, приходи тоже.
Prečo si mi včera nezavolal, keď si mal šancu vyriešiť ten problém?	Почему ты мне вчера не позвонил, когда у тебя был шанс решить эту проблему?
Čo to, kurva?	Что это, блять?
Mám toho plné zuby, už ma to vážne nebaví.	Меня это достало по самое горло, мне это реально надоело.
Včera som zhltol celý dokumentárny film o bryndzi a teraz mám chuť navštíviť dedinskú kolibu a zjesť poriadnu porciu bryndzových halušiek.	Вчера я залип на документальный фильм про брынзу, и теперь хочу съездить в деревенскую колыбу и съесть большую порцию брындзовых галушек.
Daj dole to tričko, ukáž tie bicepsy, ty frajer.	Сними эту футболку, покажи эти бицепсы, красавчик.
Hej, nezajebávaj sa, choď so mnou na pivo do Koliby, dám ti jednu.	Эй, не отлынивай, пойдем со мной на пиво в Колибу, я угощу.
Daj pokoj, vole.	Отстань, чувак.
Nerieš to, máš to na háku.	Не парься, тебе на это наплевать.
V piatok ideme na pivo do lokálu U Mela, prídeš?	В пятницу идём на пиво в бар «У Мела», придёшь?
Ty debil, zase si mi zrušil rezerváciu!	Ты дебил, опять отменил мою бронь!
Čo to meleš, rozprávaš samé kecy?	Что за бред ты несёшь, говоришь одни глупости?
Seriózne? Fakt?	Серьёзно? Правда?
Ten sused je totálny magor, v noci furt búcha do radiátorov.	Тот сосед — полный псих, ночью он всё время стучит по батареям.
Mám toho plné zuby, už nechcem riešiť tvoje sračky.	Мне это до зубов по горло, я больше не хочу разбираться с твоими дерьмами.
Vieš, kde je tá nová krčma pri Hlavnej stanici? Ideme tam dnes večer?	Ты знаешь, где та новая забегаловка возле Главного вокзала? Пойдём туда сегодня вечером?
Do kelu, zabudol som kľúče v aute a mám pol hodiny na stretnutie.	Чёрт возьми, я забыл ключи в машине, а у меня полчаса до встречи.
To je úplná katastrofa.	Это полная катастрофа.
Zase som to posral, prepáč.	Я опять всё облажал, прости.
