source	target
Daj pokoj!	Дай спокій!
Čo to, do riti, chceš odo mňa?	Що тобі, бля, від мене треба?
Už ma to sere, mám toho plné zuby, radšej si dám víkend bez mobilu.	Мене це вже дістає, маю цього по горло, краще візьму вихідні без телефону.
Zajtra ideme na Majáles v Košiciach, stretneme sa na Hlavnej pri fontáne o deviatej, potom ideme do Kulturparku.	Завтра йдемо на Майалес у Кошицях, зустрінемось на Главній біля фонтану о дев'ятій, потім підемо в Kulturpark.
Objednal som sushi cez Wolt, číslo objednávky: #B7X-902. Tu máš tracking: https://wolt.com/track/B7X-902	Замовив суші через Wolt, номер замовлення: #B7X-902. Ось трекінг: https://wolt.com/track/B7X-902
Ty vole!	Та ні, блін!
Kde, do riti, mám teraz zaparkovať?	Куди, бля, мені зараз припаркуватися?
Nechcel som ho ťahať za uši, tak som mu dal ešte týždeň, nech sa spamätá.	Не хотів тягнути його за вуха, тож дав йому ще тиждень, щоб отямився.
Dáme si kofolu na Hlaváku o ôsmej? Prinesiem aj nejaké koláče.	Підемо на Кофолу на Головному вокзалі об 8-ій? Я принесу ще кілька колачів.
Totálne ma to jebne, už nemôžem.	Мене це, бля, доб'є, я вже не можу.
Kurňa, zase meškám.	Чорт, знову спізнююся.
Zajtra ida na výlet do Tatier s partiou, zostaneme tam dve noci a pôjdeme na Rysy — idete?	Завтра їдемо в Татри з компанією, залишимось там на дві ночі і підемо на Риси — їдете з нами?
To je úplne na palicu, neviem, čo s tým.	Це повне божевілля, не знаю, що з цим робити.
Dáme si kofolu pri Starej tržnici a potom na pivo na Hlavné námestie?	Вип'ємо Кофолу біля Старого ринку, а потім — на пиво на Головну площу?
Čo si do riti zase napchal do kabelky, mami?	Що ти, до біса, знову напхала в сумку, мамо?
Do riti.	До біса!
Kde som nechal svoje kľúče od bytu? Už ma serú tie záhadné zmiznutia.	Де я залишив ключі від квартири? Мене вже дістали ці загадкові зникнення.
Mám plné zuby tých kecov, nech sa frfle kto chce.	Мені вже по горло цих базік; нехай бурчать хто хоче.
Stretneme sa pri Rolandovej fontáne na Hlavnom námestí?	Зустрінемося біля фонтану Роланда на Головній площі?
Objednal som si burger cez Wolt, ale prišli len hranolky a kurva, platba už bola odsúhlasená.	Замовив бургер через Wolt, але прийшли тільки картопля фрі, і, бля, оплата вже була підтверджена.
Do riti!	Чорт забирай!
Čo to má byť za sračka na tej fotke?	Що це за лайно на тій фотці?
Ak sa mu to nepodarí, zostane na suchu — všetko mal na úver a banka naňho pekne tlačí.	Якщо в нього це не вдасться, він лишиться ні з чим — усе було в кредит, і банк на нього серйозно тисне.
Zajtra idem na Oravský jarmok, bude tam haluz — lokše, kolotoče a muzikanti.	Завтра їду на Оравський ярмарок, там буде повний відрив — локші, каруселі й музиканти.
Počkaj, neodchádzaj, ešte mám tvoju bundu!	Стривай, не йди, у мене ще є твоя куртка!
Fuj, zas prší.	Фу, знову дощ.
Kde som nechal tie peniaze, sakra?	Куди я, чорт забирай, подів ті гроші?
On má hlavu v oblakoch, vždy zabúda termíny.	В нього голова в хмарах, він завжди забуває дедлайни.
Včera sme boli na festivale Pohoda v Bratislave, ale ten koncert bol úplný chaos, ochranka sa správala ako debili.	Вчора ми були на фестивалі Pohoda у Братиславі, але концерт був повним хаосом — охорона вела себе як ідіоти.
Objednal som si halušky cez donášku, objednávka č. 54321.	Замовив собі галушки через доставку, замовлення №54321.
Daj pokoj.	Дай спокій.
Do riti, zase som zaspal!	Чорт забирай, знову проспав!
Nechaj to, je to voda na môj mlyn.	Залиш це, це якраз мені на руку.
Zajtra ideme s chalanmi na pivo do Kocúra na Hlavnej, prídeš?	Завтра йдемо з пацанами на пиво до «Коцура» на Головній, прийдеш?
Kúpil som lístok na vlak cez RegioJet, rez. č. 7890.	Купив квиток на потяг через RegioJet, бронь №7890.
Do kelu, zmeškal som!	Чорт, я запізнився!
Kde sakra mám svoje kľúče?!	Де, чорт забирай, мої ключі?!
Tentoraz som si povedal: dnes to dám do poriadku, nech to stojí, čo to stojí.	Цього разу я собі сказав: сьогодні наведу лад, хай що б це не коштувало.
Stretneme sa pri Moste SNP, vpravo pri reštaurácii 'U čierneho psa', o siedmej?	Зустрічаємось біля Моста СНП, праворуч від ресторану 'U čierneho psa' о сьомій?
Neser ma, dnes nemám náladu na tvoje sarkazmy.	Не дразни мене, сьогодні я не в настрої для твоїх сарказмів.
Naozaj, vážne?	Справді? Серйозно?
Do riti, zase ma zablokovali na Instagrame.	Бляха, знову мене заблокували в Instagram.
Mám z toho plné zuby, už mi to lezie na nervy.	Мені цього вже по горло, це мене дратує.
Zajtra ideme do Košíc na koncert kapely Korben Dallas, ideš s nami?	Завтра їдемо в Кошице на концерт гурту Korben Dallas, поїдеш з нами?
To je pecka, fakt ma to dorazilo.	Це просто бомба, реально мене порвало.
Človeče, idem na pivo, už ma to sere.	Чувак, йду на пиво, мене це вже дістало.
Prečo si mi vymazal všetky fotky, ty debil?	Чому ти видалив усі мої фото, ти дебіл?
Máš pravdu, ale to je ako hodiť perly ošípaným.	Ти правий, але це як кидати перли перед свинями.
Zajtra idem do Bratislavy, musím vybaviť papierovačky na úrade a potom si pozrieť výstavu o Ľudovítovi Štúrovi v Slovenskom národnom múzeu.	Завтра їду до Братислави, мушу оформити папери в управлінні, а потім піти подивитися виставку про Людовіта Штуру у Словацькому національному музеї.
Zas som zmeškal, do prdele.	Знову запізнився, чорт забирай.
No vážne, fakt?	Та серйозно, правда?
Do riti, kde som dal ten mobil?!	Чорт забирай, куди я поклав той телефон?!
Už ma to sere, neznášam tú prácu.	Мене це вже дістало, я ненавиджу цю роботу.
Ak neprší, stretneme sa v kaviarni 'Modrý anjel' pri Hlavnom námestí, vezmi si peniaze na koláč a kávu, budem tam okolo ôsmej.	Якщо не буде дощу, зустрінемось у кафе 'Синій ангел' біля Головної площі, візьми гроші на тістечко й каву, я буду там близько восьмої.
Daj pokoj!	Та перестань!
Seriem na to.	Мені пофіг.
Kde, do riti, som nechal svoje slúchadlá? Nemôžem bez nich fungovať.	Куди, чорт забирай, я подів свої навушники? Без них я нормально не функціоную.
Dnes večer ideme do baru pri Zlatých pieskoch, príď, bude sranda.	Сьогодні ввечері йдемо в бар біля Zlaté piesky, приходь — буде весело.
Neviem, či spravím maturitu, som strašne nervózny.	Не знаю, чи здам матуру, я страшенно нервую.
Objednal som párky v rožku na stánku pri Hlavnej stanici, objednávka č. 4321.	Замовив сосиску в булці в кіоску біля Hlavnej stanice, замовлення №4321.
Kurva, zaspal som.	Бля, проспав.
Kde sakra som dal tie parkovacie lístky?	Де, блін, я поклав ті квитки на паркування?
Ten projekt je úplne v riti, budeme ho musieť celé prerobiť od píky.	Цей проєкт — повне лайно, нам доведеться переробити його з нуля.
Zajtra ideme do Starého Mesta na vianočné trhy, kúpim si klobásu a varené víno.	Завтра йдемо у Старе Місто на різдвяний ярмарок, куплю собі ковбаску і глінтвейн.
Dáme si po robote jedno pod UFO?	Після роботи заскочимо на пиво під UFO?
Do riti!	До біса!
Neviem, či mám hodiť flintu do žita, alebo to ešte skúsiť.	Не знаю, чи варто опустити руки і здатися, чи ще спробувати.
Objednal som obed cez Wolt, kuriér volal, že mešká 40 minút. Už ma to sere.	Замовив обід через Wolt, кур'єр подзвонив і сказав, що запізниться на 40 хв. Мене це вже задовбало.
Kde som nechal svoje slnečné okuliare? Asi som ich nechal v kaviarni na Obchodnej.	Де я лишив свої сонцезахисні окуляри? Мабуть, лишив їх у кав'ярні на Обходній.
Na Orave je najlepšie, aspoň tam má človek pokoj od mestského humbuku, vieš?	На Ораві найкраще — принаймні там людина має спокій від міського гамору, знаєш?
Do riti.	Чорт побери.
Čo do riti tu robíš o polnoci?	Що, до біса, ти тут робиш опівночі?
Som tak nasrdený na šéfa, že by som mu najradšej rozbil držku, ale radšej to vyriešim rozumne.	Я такий злий на шефа, що готовий йому розбити пику, але краще вирішу це розумно.
Ideme na Pohodu tento rok, mám už lístok č. 4321.	Їдемо на фестиваль Pohoda цього року, у мене вже квиток №4321.
Nehovor hop, kým nepreskočíš — staré, ale pravdivé.	Не кажи гоп, поки не перескочиш — старе, але правдиве.
Do riti!	Чорт забирай!
Kde, do riti, sú moje kľúče?	Де, чорт забирай, мої ключі?
V práci som teraz tak zahltený, že ani poriadne nedýcham, potrebujem dovolenku.	На роботі зараз такий завал, що я ледь дихаю, мені потрібна відпустка.
Stretneme sa v kaviarni 'U Ferka' na Hlavnej ulici o piatej, príď presne.	Зустрінемося в кав'ярні «У Ферка» на Головній вулиці о п'ятій, прийди вчасно.
Objednal som pizzu cez Wolt, objednávka č. 54621.	Замовив піцу через Wolt, замовлення №54621.
Sakra, kde sú moje topánky?	Чорт, де мої туфлі?
Kam si, do riti, dal moje doklady?	Куди ти, бляха, подів мої документи?
Po tom dlhom týždni sa cítim ako vyžmýkaná handra, nevládzem ani vstať.	Після того довгого тижня почуваюся як вижата ганчірка, навіть піднятися не можу.
Objednal som burger cez Wolt, objednávka č. 24680.	Замовив бургер через Wolt, замовлення №24680.
Zasa som to posral, prepáč, mal som zlý deň.	Знову я це просрав, вибач, у мене був поганий день.
Do riti.	Бля.
Som fakt nasrdený, šéf mi zase zobral prémiu bez upozornenia.	Я реально в дідька розлютований — шеф знову забрав мою премію без жодного попередження.
Nechcem do toho ísť po hlave, radšej pomaly a isto.	Не хочу кидатися в це з головою, краще повільно й впевнено.
Vieš, kde je najbližšie Tesco pri Hlavnom námestí? Potrebujem tam rýchlo skočiť.	Ти знаєш, де тут найближчий Tesco біля Головної площі? Мені треба туди швидко забігти.
Zajtra ideme do kina, ni?	Завтра йдемо в кіно, правда?
Ty blázon?	Ти божевільний?
