source	target
Та ну?	No way?
Блін, знову заглухла машина, я в паніці.	Damn, the car stalled again — I'm freaking out.
Давай кинемо роботу і підемо на пиво після 18:00, я втомився.	Let's ditch work and go for a beer after 6pm — I'm knackered.
Я замовив у seller_profile_892 ту штуку, трек-номер: xyz_12345.	I ordered that thing from seller_profile_892, tracking number: xyz_12345.
Чорт забирай, ти правда думаєш, що можна так просто переїхати до Львова і не шукати роботу заздалегідь?	For fuck's sake, do you really think you can just move to Lviv and not bother looking for a job first?
Та ну, блін.	Ah, crap.
Мені треба підзаробити, бо гроші тануть як сніг навесні.	I need to make some extra cash — my money's melting away like snow in spring.
Підеш сьогодні в паб біля Трафальгарської площі? Кажуть, там пиво по п'ять фунтів.	You coming to the pub near Trafalgar Square tonight? I heard pints are five quid there.
Я так наївся цього сраного начальника, що готовий кинути роботу й поїхати в подорож навколо Європи без планів.	I'm so sick of that fucking boss that I'm ready to quit my job and go travel around Europe with no plans.
Замовив книжку у seller_1234, але трекінг не оновлюється вже тиждень.	I ordered a book from seller_1234, but the tracking hasn't updated in a week.
Блін, я проспав!	Crap, I overslept!
Ця робота мене вбиває — вже не можу так далі.	This job is killing me — I can't keep going like this.
Ти знаєш, де той паб на Подолі? Я хочу піти на пиво після роботи.	Do you know where that pub in Podil is? I want to grab a beer after work.
Припини бути таким придурком і допоможи винести меблі, інакше сам все складеш.	Stop being such an idiot and help me carry the furniture out, or you'll end up putting it all together yourself.
Я купив у user_12345 на OLX — сподіваюсь, це не розвод.	I bought from user_12345 on OLX — hope it's not a scam.
Та ну, не вірю.	No way, I don't believe it.
Блять, я знову забув ключі в хаті!	Fuck, I left my keys in the flat again!
Ця робота мене добиває: відчуваю, ніби ловлю сто зайців і нічого не ловлю.	This job is killing me — I feel like I'm chasing a hundred hares and catching nothing.
Підеш сьогодні на пиво в районі Липок після восьмої?	Fancy going for a beer in Lypky after eight tonight?
Мамо, будь ласка, не кажи татові: я випадково розбив твій телефон, і боюся, що ти розплачешся.	Mum, please don't tell Dad — I accidentally smashed your phone, and I'm afraid you'll start crying.
Та годі.	Oh, come on.
Чорт забирай, я знову загубив ключі.	Bloody hell, I've lost my keys again.
Він залишив мене напризволяще в найпотрібніший момент.	He left me high and dry when I needed him most.
Після роботи йдемо у «Пузату Хату» на пельмені та караоке?	Fancy heading to Puzata Hata after work for pelmeni and karaoke?
Ти правда збираєшся продати ту стару «Жигулі»? Вона ще на ходу — я можу її починити за вихідні.	Are you seriously going to sell that old Zhiguli? It's still running — I could fix it up over the weekend.
Та ну, не вірю.	No way, I can't believe it.
Він втік, як щур із тонучого корабля.	He bailed like a rat off a sinking ship.
Ти чув, що на вихідних у Печерську відкривають новий паб? Хочеш заскочити на пиво?	Did you hear they're opening a new pub in Pechersk this weekend? Fancy popping in for a beer?
Припини бути таким ідіотом і віддай мені мої гроші, зараз же!	Stop being such an idiot and give me my money back, right now!
Я щойно отримав нотифікацію від seller_99: трекінг LS123-XYZ ще не оновився.	I just got a notification from seller_99: tracking LS123-XYZ still hasn't updated.
Та ну нафіг.	Nah, fuck that.
Маршрутка повзла, як равлик, я ледь не запізнився на роботу.	The minibus crawled like a snail — I was nearly late for work.
Не будь таким придурком, приїдь сюди вже!	Don't be such an idiot, just come here already!
Ти чув, що на вихідних біля Дніпра буде ярмарок і музика до ранку?	Have you heard there's a fair by the Dnipro this weekend with music 'til morning?
Замовив у seller_8123, трек: ABC123XYZ, тіпа подивимось.	I ordered from seller_8123, tracking ABC123XYZ — we'll see, I guess.
Блін, знову забув ключі в машині.	Damn, I left my keys in the car again.
Та ну, серйозно?	No way, seriously?
Скажи «паляниця» — це наш код, щоб бути впевненими, що це свій.	Say 'palyanytsia' — it's our code word to make sure they're one of us.
Досить, ти вже задовбав — відчепися!	Enough, you've pissed me off — back off!
Я замовив у seller_789xyz на цьому маркетплейсі, але трекінг не оновлюється.	I ordered from seller_789xyz on that marketplace, but the tracking hasn't updated.
Блін, я зовсім проґавив квитки на концерт!	Damn, I totally missed getting tickets for the concert!
Пора взяти бика за роги і завершити цей проєкт до кінця тижня.	It's time to take the bull by the horns and finish this project by the end of the week.
Ти серйозно підеш сьогодні ввечері в одній футболці, чи що?	Are you seriously going out tonight in just a T‑shirt or what?
Припини бути таким засранцем і допоможи мені перенести диван.	Stop being such an asshole and help me move the sofa.
Я замовив те саме у user_profile_789 на тому українському маркетплейсі — кажуть, доставка близько тижня.	I ordered the same thing from user_profile_789 on that Ukrainian marketplace — they say delivery is about a week.
Та ну!	No way!
Блін, я знову загубив ключі.	Damn, I lost my keys again.
Ця робота мене вимотує — я вже на межі.	This job is wearing me out — I'm already at my limit.
Зустрінемося на Хрещатику біля Сільпо о 19:00, ти будеш?	Let's meet on Khreshchatyk by the Silpo at 7pm — are you coming?
Я замовив у user_profile_789 на тому маркетплейсі; відправлення має прийти завтра.	I ordered from user_profile_789 on that marketplace; the shipment should arrive tomorrow.
Іди лісом.	Get lost.
Блін, я знову забув зарядку від телефона в маршрутці, назад не піду.	Crap, I left my phone charger on the marshrutka again — I'm not going back.
Підкину тобі сало й хліба, якщо зайдеш до нас на чай у суботу.	I'll toss you some salo and bread if you pop round for tea on Saturday.
Ти сьогодні в Києві чи на дачі? Бо можемо зустрітись біля Гулліверу о сьомій.	Are you in Kyiv today or at the dacha? We could meet by Gulliver at seven.
Припини бути таким мудаком, ти реально зіпсував вечір усім.	Stop being such an asshole — you really ruined everyone's evening.
Та ну, не переймайся.	Ah, don't sweat it.
Я вже задовбаний цією конторою — завтра звільняюся, блін.	I'm totally fed up with this place — I'm quitting tomorrow, damn it.
Не роби з мухи слона, це дрібниця.	Don't make a mountain out of a molehill — it's nothing.
Зустрінемось у «Пузатій хаті» біля Оперного о 19:00.	Let's meet at Puzata Khata by the Opera House at 7pm.
Ти бачив ту нову серію «Слуги народу»? Я в шоці — як вони таке придумали, це просто повна шиза.	Did you see that new episode of 'Servant of the People'? I'm stunned — how did they come up with that, it's just complete madness.
Та ну, не вірю.	Yeah, right — I don't buy it.
Чорт, знову те відео не завантажилося, витратив дві години даремно.	Shit, that video didn't upload again — I wasted two hours.
Після роботи підемо на пиво, треба випустити пару.	Let's grab a beer after work — I need to blow off some steam.
Зустрінемось біля Tesco о шостій? Мені так зручніше.	Wanna meet by Tesco at six? That's easier for me.
Я купив ту лампу у seller_vanya на цьому маркетплейсі; ще не перевіряв її.	I bought that lamp from seller_vanya on that marketplace; I haven't checked it yet.
Завтра бухати?	Wanna go out drinking tomorrow?
