source	target
Та ну, блін.	No do riti.
Я в шоці: наш начальник продав контракт конкурентам, це повний піздець.	Som v šoku: náš šéf predal zákazku konkurencii, to je totálny prúser.
Де ти подівся, друже? Ми вже біля Майдану, автобус о 18:15.	Kde si zmizol, kámo? Už sme pri Majdane, autobus ide o 18:15.
На бабусиному столі на Різдво стільки пампушок і млинців, що я просто не можу встояти.	Na babkinom stole na Vianoce je toľko pampušiek a palaciniek, že sa jednoducho nedokážem ubrániť.
Що за хуйня відбувається на станції Лисичанськ? Поїзд зупинили навмисно?	Čo to za hovadina sa deje na stanici Lysychansk? Vlak zastavili naschvál?
Та й чорт із ним.	Tak do riti s tým.
Блін, знову затор на мосту, запізнюся на зустріч.	Sakra, zase zácpa na moste, meškám na stretnutie.
Ти бачив концерт ONUKA минулого літа?	Ty si videl koncert ONUKA minulé leto?
Не вішай на мене свої проблеми.	Nehádž na mňa svoje problémy.
Якщо не підеш зі мною в похід завтра, то я серйозно ображусь.	Ak so mnou zajtra nepôjdeš na výlet, fakt sa urazím.
Та ні!	Ale nie!
Чувак, я в шоці від тих новин.	Človeče, som v šoku z tých správ.
Це повний зашквар, не можу повірити, що він так зробив.	To je úplný trapas, nemôžem uveriť, že to spravil.
Підемо на пиво біля Дніпра? Буде кайф, візьму гітару і заспіваю пару пісень «Океану Ельзи».	Pôjdeme na pivo pri Dnepri? Bude to paráda, vezmem gitaru a zaspievam pár piesní Okeanu Elzy.
Замовив шаурму на Лісовій, кур'єр сказав 'через 15 хв', а вийшло 45.	Objednal som šaurmu na Lisovej, kuriér povedal 'o 15 minút', ale nakoniec to bolo 45.
Та ну.	No daj!
Куди, блін, поділася моя зарядка?	Kam, do riti, zmizla moja nabíjačka?
Він зробив із мухи слона і ще накоїв проблем.	Urobil z múchy slona a ešte si narobil problémov.
Замовив київський торт із кондитерської в центрі, привезли з помилкою, але смак бомба.	Objednal kyjevský tort z cukrárne v centre, priviezli ho s chybou, ale chuť je bomba.
Я так рада, що нарешті відпочиваю — годі, не хочу думати про роботу.	Som taká šťastná, že si konečne oddýchnem — dosť, nechcem myslieť na robotu.
Та ну, блін.	No tak, do riti.
Куди подів мій термос? Я його лишив на вокзалі!	Kde mám svoj termos? Nechal som ho na stanici!
Знову застряг у маршрутці через затор на Хрещатику — ніби весь центр стоїть у пробці.	Zase som uviazol v maršrutke kvôli zápche na Chreščatyku — akoby celé centrum stálo v kolóne.
Це повний піздець, начальник знову урізав бюджет без пояснень.	To je totálny prúser, šéf znova znížil rozpočet bez vysvetlenia.
Це для мене як два пальці об асфальт — зроблю це і з закритими очима.	To je pre mňa hračka — urobím to aj so zavretými očami.
Та ну, бля.	No do riti.
Він з'їв собаку на цих справах, тож слухай його, він все знає.	On v tom má prax, tak ho počúvaj, vie o tom všetko.
Минулого літа їхали до Львова, зависли в центрі на каву, потім заблукали в старих вуличках і лишилися там до ночі.	Minulé leto sme išli do Ľvova, zastavili sme sa v centre na kávu, potom sme sa stratili v starých uličkách a ostali tam až do noci.
Куди подів мою зарядку? Я без батареї помру!	Kam si dal moju nabíjačku? Bez batérie skoro umriem!
Та ти гониш? Він справді купив собі «Теслу»?	Ty žartuješ? On si fakt kúpil Teslu?
Та ну!	No to vážne?
Чувак, я вже на межі — цей проєкт мене добиває.	Človeče, som už na hrane — tento projekt ma doráža.
Скажи, бля, де моя картка ПриватБанку? Без неї я як без рук.	Povedz, do riti, kde mám kartu z PrivatBanky? Bez nej som ako bez rúk.
У нас людей як кіт наплакав — ніхто не прийшов на збори.	Ľudí bolo ako šafránu — nikto neprišiel na schôdzu.
Замовив суші через Raketa, кур'єр загубив посилку і зараз дзвонить мені: 'Де, бля, ти?' Кажу, що вже чекаю півгодини й хочу повернення грошей.	Objednal som sushi cez Raketu, kuriér stratil zásielku a teraz mi volá: 'Kde, kurva, si?' Hovorím, že už čakám pol hodiny a chcem vrátenie peňazí.
Що за фігня?	Čo to za blbosť?
Куди, бля, поділася моя сумка?	Kam, do riti, sa stratila moja taška?
Я так натерпівся на цьому проекті, що хочеться взяти відпустку і втекти на Західну Україну до бабусі.	Tak som sa na tom projekte natrpel, že by som si zobral dovolenku a ušiel na západnú Ukrajinu k babke.
Не парся, усе владнається.	Netráp sa, všetko sa zariadi.
Замовив вечерю через Bolt. Номер замовлення: 54321-XYZ.	Objednal som večeru cez Bolt. Číslo objednávky: 54321-XYZ.
Та ну!	No vážne?!
Я такий задовбаний цим трамваєм, що він постійно запізнюється.	Som z tej električky úplne nasratý, že stále mešká.
Підеш зі мною в суботу на виставку в Мистецькому Арсеналі?	Pôjdeš so mnou v sobotu na výstavu do Mystetského Arsénalu?
Вона зірвала джекпот і тепер ходить по хмарі.	Vyhrala jackpot a teraz je v siedmom nebi.
Бля, я загубив документи десь у центрі, не можу знайти паспорт і страховку, допоможеш пошукати?	Kurva, stratil som dokumenty niekde v centre, nemôžem nájsť pas a poistku, pomôžeš mi ich hľadať?
Та ну, фігня.	No to je blbosť.
Я вже по вуха в роботі, не можу навіть дихати.	Som už po uši v práci, ani dýchať nemôžem.
Куди, блін, подів мій проїзний? Маршрутка їде!	Kam, do riti, som dal svoj preukaz na MHD? Maršrutka odchádza!
Мама зварила борщ, як у дитинстві — душа радіє.	Mama uvarila boršč ako kedysi — duša sa raduje.
Вчора замутили тусу на дачі — було п'яненько й весело.	Včera sme roztočili párty na chate — bolo trochu opito a veselo.
Та ну, фігня.	No čo, to je sračka.
Де, бляха, ти вчора був? Я тебе цілий день шукав.	Kde, do riti, si včera bol? Celý deň som ťa hľadal.
Я втомився як собака після тієї наради з босом.	Som ubitý ako pes po tom stretnutí so šéfom.
Завтра йдемо на Андріївський узвіз, куплю собі вишиванку.	Zajtra ideme na Andrijivskyj uzviz, kúpim si vyšívanú košeľu.
Отакої, я просив лише чай, а не ці твої новомодні латте-штуки.	No teda, žiadal som len čaj, nie tie tvoje novomodné latté-výmysly.
Та ну, бісить.	Fakt ma to štve.
Куди, чорт забирай, поділися мої навушники?	Kam, do riti, sa stratili moje slúchadlá?
Він втік як ошпарений, щойно побачив поліцію.	Utekol ako splašený hneď, ako zbadal políciu.
Замовив каву в «Світ Кави» на Подолі, але бариста переплутав і приніс чай — день зіпсований.	Objednal som kávu v „Svit Kavy“ na Podole, ale barista sa pomýlil a doniesol čaj — deň mám pokazený.
Не буду з цим возитися — хай йому грець.	Nebudem sa s tým babrať — nech to ide do riti.
Та ну, серйозно?	To vážne?
Я такий виснажений, що можу лягти і не вставати.	Som taký vyčerpaný, že by som si ľahol a už nevstal.
Де, блін, той маршрутник? Я запізнююсь на потяг.	Kde, do riti, je tá maršrutka? Meškám na vlak.
Вона вирішила взяти бика за роги і відкрити власну кав'ярню на Подолі.	Rozhodla sa chytiť býka za rohy a otvoriť vlastnú kaviareň na Podole.
Без базару, ця пісня застрягла в моїй голові ще з вчорашнього вечора.	Bez kecov, tá pieseň mi uviazla v hlave už od včerajšieho večera.
Та ну, бля!	No do riti!
Де, бля, мій телефон? Я ж його тут лишив.	Kde, kurva, mám telefón? Veď som ho tu nechal.
Я так натерпівся на цій роботі, що вже готовий звернутися за порадою до свого кота.	Toľko som si v práci odtrpel, že by som sa už aj svojho kocúra išiel opýtať na radu.
Та чорт забирай, знову пробки на Лівобережній!	Do riti, zas zácpy na Ľavom brehu!
Замовив доставку зі "Сільпо", але кур'єр дзвонив три рази й таки вклонився тільки коли я відкрив двері.	Objednal som donášku zo "Silpo", ale kuriér zvonil trikrát a až keď som otvoril dvere, sa konečne uklonil.
Та годі!	Dosť bolo!
Я в шоці — на селі взагалі немає інтернету й сигналу, ніби в старій хаті в Карпатах.	Som v šoku — na dedine vôbec nie je internet ani signál, ako v starej chate v Karpatoch.
Чув, ти сьогодні йдеш після роботи на пиво в "Пузату хату"?	Počul som, že pôjdeš dnes po práci na pivo do "Puzata Hata"?
Це повний бардак, я більше так не можу!	To je úplný bordel, už viac takto nedám!
Не хочу підписувати ту дурну угоду — там стільки підводних каменів, що можна вляпатися по вуха.	Nechcem podpisovať tú blbú zmluvu — je tam toľko nástrah, že sa v tom dá po uši zamotať.
Бля, знову запізнююсь.	Do riti, zase meškám.
Не жартуй з цим — може вилізти боком.	S tým sa nevyhrávaj — môže sa ti to vypomstiť.
Куди, чувак, поділася моя термочашка з 'Епіцентр'?	Kde, kámo, zmizol môj termohrnček z 'Epicentr'?
Я сьогодні прийшов додому, а сусіди вже влаштували якусь весільно-похоронну вечірку — цілий під'їзд танцює до ранку.	Dnes som prišiel domov a susedia už zorganizovali nejakú svadobno-pohrebnú párty — celý vchod tancuje až do rána.
Це повний зашквар, не втягуйтесь.	To je úplný trapas, neťahajte sa do toho.
Та ну, фігня.	No do riti, to je hovadina.
Куди ти, чорт, подів мій паспорт? Я ж залишив його біля шафи.	Kam si, do riti, dal môj pas? Veď som ho nechal pri skrini.
Цей проєкт для мене — кістка в горлі; хочу його закінчити і забути.	Tento projekt mi leží v krku; chcem ho dokončiť a zabudnúť.
Замовив шаурму на Позняках, кур'єр каже 'за 10 хвилин', а вже півтори години ніяких новин.	Objednal som šaormu na Pozniakoch, kuriér povedal 'o 10 minút', a už poltorej hodiny žiadne správy.
Не стримав емоцій: кричав від радості, коли виграв квиток на концерт 'Океану Ельзи' — плакав як дитина.	Neudržal som emócie: kričal som od radosti, keď som vyhral lístok na koncert 'Okeanu Elzy' — plakal som ako dieťa.
Та ну, до біса!	No čo, do kelu!
Куди, якого чорта, поділася моя запальничка?	Kde, do riti, zmizla moja zapaľovačka?
Я такий злий, що міг би розбити цей телефон, якби він не був захищений.	Som tak nasratý, že by som tento telefón rozbil, keby nebol chránený.
Замовив шаурму біля Палацу спорту — смакота!	Objednal som šaurmu pri Paláci športu — mňamka!
Не буду з цим морочитися — нехай іде у свою нору.	Nebudem sa s tým babrať — nech ide do svojej diery.
Та ну, давай без цирку.	No daj, prestaň s tým cirkusom.
Куди ти, блядь, подів мій телефон?	Kde si, do riti, dal môj telefón?
Я по горло в цих проблемах, не знаю, як з ними впоратись.	Mám po krk týchto problémov, neviem, ako sa s nimi vysporiadať.
Завтра йду на футбол на Олімпійський, будемо пити пивко після матчу.	Zajtra idem na futbal na Olympijský štadión, po zápase pôjdeme na pivko.
Фуу, смердить якесь гівно в під'їзді.	Fuj, vo vchode smrdí nejaké hovno.
Та ну, гониш!	To si robíš srandu!
Чувак, той бар на Подолі сьогодні — повний відстій, навіть музика лайно.	Čoveče, ten bar na Podole dnes stojí za hovno, dokonca aj hudba je sračka.
Куди, блін, подівся мій телефон? Я його тільки що поклав на стіл!	Kam, do riti, zmizol môj telefón? Veď som ho práve položil na stôl!
Не переживай, все буде ништяк: завтра поговорю з босом і постараюсь вирішити це питання.	Neboj sa, všetko bude v pohode: zajtra to preberiem so šéfom a pokúsim sa to vyriešiť.
Замовив квитки на 'Concert in the Park', місця A12-A13, замовлення №4521.	Objednal som lístky na 'Concert in the Park', miesta A12-A13, objednávka č. 4521.
Ну й денек.	No teda deň.
Куди, блін, поділася моя улюблена шапка з барахолки?	Kam, do riti, zmizla moja obľúbená čiapka z blšáku?
Я в шоці — начальник наїхав на всю команду просто так, без жодних підстав.	Som v šoku — šéf na nás všetkých zaútočil len tak, bez dôvodu.
Вчора замовив вареники з сиром у «Пузатої хати», але принесли якісь напівфабрикати — абсолютне розчарування, ніби після поганої вечірки.	Včera som si objednal varenyky s tvarohom v 'Puzata Chata', ale priniesli nejaké polotovary — absolútne sklamanie, akoby po zlej párty.
Блін, знову запізнююсь на маршрутку, це вже традиція.	Sakra, zase meškám na maršrutku, to už je tradícia.
Блін, знову затори!	Do riti, zase zácpy!
Дай мені спокій, я вже на нервах.	Daj mi pokoj, už som úplne na nervoch.
Ти дивився нову серію 'Гри престолів'?	Pozeral si novú epizódu 'Hry o tróny'?
Я так налажав на співбесіді, що хотів провалитися крізь землю.	Na pohovore som to tak pohnojil, že som sa chcel prepadnúť pod zem.
Замовив каву у 'Київській кав'ярні', замовлення №4321. Побачимось на Подолі о 15:00.	Objednal som kávu v 'Kyiv Coffee House', objednávka č. 4321. Stretneme sa na Podile o 15:00.
Та ну нафіг.	Do kelu.
Хто, чорт забирай, вкрав мій велосипед біля метро?	Kto, do riti, ukradol môj bicykel pri stanici metra?
Я втомився, як пес, не можу більше працювати.	Som vyčerpaný ako pes, už ďalej nevládzem pracovať.
Замовив піцу через Bolt Food, замовлення №A-558. Кур'єр просто загубився.	Objednal som pizzu cez Bolt Food, objednávka č. A-558. Kuriér sa proste stratil.
Зустрічаюся з старою компанією біля пам'ятника Шевченку, будемо згадувати, як ми колись гуляли.	Stretnem sa so starou partiou pri pomníku Ševčenka, budeme si pripomínať, ako sme kedysi flámovali.
Не парся, бро.	Netrap sa, brácho.
Куди поділася моя маршрутка? Вже півгодини чекаю.	Kde sa podela moja maršrutka? Už pol hodiny čakám.
Та це повна дупа, не знаю, як ми це витягнемо.	To je úplná sračka, neviem, ako to vytiahneme.
Він крутиться як білка в колесі, вже три дні не спить.	Točí sa ako veverička v kolese, už tri dni nespí.
Завтра йдемо на Андріївський узвіз шукати старі листівки, після цього зайдемо в 'Криївку' на горілку та борщ.	Zajtra ideme na Andrijivskij uzviz hľadať staré pohľadnice, potom zájdeme do 'Kryjivky' na vodku a boršč.
Та ну, без цирку.	No tak, bez cirkusu.
Куди подівся мій термос? Я його лишив на сходах біля метро.	Kde sa podel môj termos? Nechal som ho na schodoch pri metre.
На роботі сьогодні повний капець: начальник влаштував перевірку, файли загубилися, а я мушу переробляти все вночі.	V práci je dnes totálny chaos: šéf vyhlásil kontrolu, súbory sa stratili a ja to musím prerábať v noci.
Не клади всі яйця в один кошик, особливо коли інвестуєш у стартапи.	Nevkladaj všetky vajíčka do jedného košíka, najmä keď investuješ do startupov.
Завтра тусимо біля Дніпра: візьмемо сало, хліб і домашню горілку — буде реальна гулянка.	Zajtra budeme pařit pri Dnepri: vezmeme salo, chlieb a domácu pálenku — bude poriadna žúrka.
Та ну, не парся.	No daj, nerieš to.
Куди, блін, поділи всі мої носки? Я ж тільки прала.	Kam, do riti, zmizli všetky moje ponožky? Veď som ich práve vyprala.
Мені здається, я з глузду з'їхав: ціни на ринку шалені, а зарплата стоїть на місці.	Mám pocit, že som zblbol: ceny na trhu sú šialené a mzda stojí na mieste.
Замовив пересилку на Новій Пошті, трек №UA2026ABC — де мої кросівки?	Poslal som zásielku cez Nova Poshta, tracking č. UA2026ABC — kde sú moje tenisky?
Та годі вже!	Dosť už!
Іди на хуй.	Choď do riti.
Чувак, ти бачив мій велосипед біля Поштової площі?	Človeče, videl si môj bicykel pri Poštovej ploche?
Я вбився на цю роботу: третій день поспіль без сну, лише еспресо, вранці почуваюся мертвим.	Zabíjam sa touto robotou: tretí deň po sebe nespím, pijem len espresso a ráno sa cítim mŕtvy.
Це повне фіаско, нам треба перезавантажити план і зустрітись завтра.	To je totálne fiasko, musíme prepracovať plán a stretnúť sa zajtra.
Замовив піцу через Glovo, замовлення №54321; кур'єр запізнився на 20 хв.	Objednal som pizzu cez Glovo, objednávka č. 54321; kuriér meškal 20 min.
